id,name,camo_url,category,mode,sort_order
59,Ocean,/assets/camo/ocean.webp,prestige2,prestige,2
60,Cyborg,/assets/camo/cyborg.webp,prestigem,prestige,6
61,Strands,/assets/camo/strands.webp,prestige1,prestige,1
62,Murder,/assets/camo/murder.webp,prestige2,prestige,2
63,Hellfire,/assets/camo/hellfire.webp,prestigem,prestige,6
64,Fracture,/assets/camo/fracture.webp,prestige1,prestige,1
65,Nocturnal,/assets/camo/nocturnal.webp,prestige2,prestige,2
66,Oni,/assets/camo/oni.webp,prestigem,prestige,6
67,Carbon Fiber,/assets/camo/carbon_fibre.webp,prestige1,prestige,1
68,Shackled,/assets/camo/shackled.webp,prestige2,prestige,2
69,Lotus,/assets/camo/lotus.webp,prestigem,prestige,6
70,Aqua,/assets/camo/aqua.webp,prestige1,prestige,1
71,Azalea,/assets/camo/azalea.webp,prestige2,prestige,2
72,Tagged,/assets/camo/tagged.webp,prestigem,prestige,6
73,Kawaii,/assets/camo/kawaii.webp,prestige1,prestige,1
74,Concrete,/assets/camo/concrete.webp,prestige2,prestige,2
75,Sealed,/assets/camo/sealed.webp,prestigem,prestige,6
76,Leopard,/assets/camo/leopard.webp,prestige1,prestige,1
77,Scorch,/assets/camo/scorch.webp,prestige2,prestige,2
78,Heatwave,/assets/camo/heatwave.webp,prestigem,prestige,6
79,Paladin,/assets/camo/paladin.webp,prestige1,prestige,1
80,Wavelength,/assets/camo/wavelength.webp,prestige2,prestige,2
81,Shrouded,/assets/camo/shrouded.webp,prestigem,prestige,6
82,Comics,/assets/camo/comics.webp,prestige1,prestige,1
83,Plum,/assets/camo/plum.webp,prestige2,prestige,2
84,Bacon,/assets/camo/bacon.webp,prestigem,prestige,6
85,Billow,/assets/camo/billow.webp,prestige1,prestige,1
86,Neon Zebra,/assets/camo/neon_zebra.webp,prestige2,prestige,2
87,Spotted,/assets/camo/spotted.webp,prestigem,prestige,6
88,Trade Tools,/assets/camo/trade_tools.webp,prestige1,prestige,1
89,Sunset Zebra,/assets/camo/sunset_zebra.webp,prestige2,prestige,2
90,Overdrive,/assets/camo/overdrive.webp,prestigem,prestige,6
91,Zombies,/assets/camo/zombies.webp,prestige1,prestige,1
92,Pack-A-Punch,/assets/camo/pack_a_punch.webp,prestige2,prestige,2
93,Weaponized 115,/assets/camo/weaponized_115.webp,prestigem,prestige,6
94,Fissure,/assets/camo/fissure.webp,prestige1,prestige,1
95,Slither Prestige,/assets/camo/slither_prestige.webp,prestige2,prestige,2
96,Hexed,/assets/camo/hexed.webp,prestigem,prestige,6
97,Invertebrate,/assets/camo/invertebrate.webp,prestige1,prestige,1
98,Mitosis,/assets/camo/mitosis.webp,prestige2,prestige,2
99,Luna,/assets/camo/luna.webp,prestigem,prestige,6
100,Voltaic,/assets/camo/voltaic.webp,prestige1,prestige,1
101,Fated,/assets/camo/fated.webp,prestige2,prestige,2
102,Lacerate,/assets/camo/lacerate.webp,prestigem,prestige,6
103,Cherry Blossom,/assets/camo/cherry_blossom.webp,prestige1,prestige,1
104,Clay,/assets/camo/clay.webp,prestige2,prestige,2
105,Dragon,/assets/camo/dragon.webp,prestigem,prestige,6
106,Psychedelic,/assets/camo/psychedelic.webp,prestige1,prestige,1
107,Uranium,/assets/camo/uranium.webp,prestige2,prestige,2
108,Marbled,/assets/camo/marbled.webp,prestigem,prestige,6
109,Shattered,/assets/camo/shattered.webp,prestige1,prestige,1
110,Cohesion,/assets/camo/cohesion.webp,prestige2,prestige,2
111,Koi Pond,/assets/camo/koi_pond.webp,prestigem,prestige,6
112,Arachnid,/assets/camo/arachnid.webp,prestige1,prestige,1
113,Sulfur,/assets/camo/sulfur.webp,prestige2,prestige,2
114,Nightlight,/assets/camo/nightlight.webp,prestigem,prestige,6
115,Burner,/assets/camo/burner.webp,prestige1,prestige,1
116,Serenity,/assets/camo/serenity.webp,prestige2,prestige,2
117,Snake Eyes,/assets/camo/snake_eyes.webp,prestigem,prestige,6
118,Ronin,/assets/camo/ronin.webp,prestige1,prestige,1
119,Jasper,/assets/camo/jasper.webp,prestige2,prestige,2
120,Aced,/assets/camo/aced.webp,prestigem,prestige,6
121,Art of War,/assets/camo/art_of_war.webp,prestige1,prestige,1
122,Moss,/assets/camo/moss.webp,prestige2,prestige,2
123,Benjamin,/assets/camo/benjamins.webp,prestigem,prestige,6
124,Plasma,/assets/camo/plasma.webp,prestige1,prestige,1
125,Onyx,/assets/camo/onyx.webp,prestige2,prestige,2
126,Moonlit,/assets/camo/moonlit.webp,prestigem,prestige,6
127,Equinox,/assets/camo/equinox.webp,prestige1,prestige,1
128,Asphalt,/assets/camo/asphalt.webp,prestige2,prestige,2
129,Birdie,/assets/camo/birdie.webp,prestigem,prestige,6
130,Haze,/assets/camo/haze.webp,prestige1,prestige,1
131,Blend,/assets/camo/blend.webp,prestige2,prestige,2
132,Dimensions,/assets/camo/dimensions.webp,prestigem,prestige,6
133,Vivid,/assets/camo/vivid.webp,prestige1,prestige,1
134,Tangerine,/assets/camo/tangerine.webp,prestige2,prestige,2
135,Igneous,/assets/camo/igneous.webp,prestigem,prestige,6
136,Glyph,/assets/camo/glyph.webp,prestige1,prestige,1
137,Runoff,/assets/camo/runoff.webp,prestige2,prestige,2
138,QWERTY,/assets/camo/qwerty.webp,prestigem,prestige,6
