id,perk_id,name,type,effect
31,4,Chill Berry,Minor,Reduce Elemental Pop cooldowns.
32,4,Pineapple Blast,Minor,Equipment can also trigger a random Ammo Mod.
33,4,Vulnera Bean,Minor,Increase enemy Elemental Weakness damage.
34,4,Electric Cherry,Major,"Reloading creates an electric damage discharge that damages and stuns nearby Normal Enemies. The more empty the magazine, the stronger the damage."
35,4,Imperil Peach,Major,Enemies that hit you have a chance to trigger a random Ammo Mod.
36,4,Citrus Focus,Major,"If a weapon has an Ammo Mod applied, Elemental Pop will only activate that one."
37,5,Extra Slot,Minor,Equip a second minor augment.
38,5,Iron Core,Major,Your health is increased when all of your Armor Plates are broken.
39,5,Shake It Off,Minor,Incoming damage will occassionally be significantly reduced.
40,5,Durable Plates,Minor,Increase your armor's durability.
41,5,Hardened Plates,Minor,Armor plates have more damage mitigation.
42,5,Retaliation,Minor,Deal bonus damage while your health is low.
43,5,Reactive Armor,Major,"When an Armor Plate breaks, nearby Normal Enemies are stunned for a short time."
44,5,Turtle Shell,Major,Armor now completely absorbs damage to your back.
45,5,Probiotic,Major,Slightly increase Maximum Health with Jugger-Nog.
46,6,Extra Slot,Minor,Equip a second minor augment.
47,6,Mocha Maul,Major,The punch is replaced with your Dedicated Melee Weapon.
48,6,Barista Brawl,Minor,Gain more Essence from Melee Kills.
49,6,Mugging,Minor,Melee Kills reload a portion of your held weapon.
50,6,Strength Training,Minor,Your punch can one-hit kill Normal Enemies for more rounds.
51,6,Stick Stick 'N Move,Minor,Backpedal speed is increased after a successful melee attack.
52,6,Triple Shot,Major,Your punch can hit multiple enemies at once.
53,6,Expresso,Major,All melee attacks are faster.
54,6,Vampiritic Extraction,Major,Melee attacks heal a small amount of your health.
55,7,Extra Slot,Minor,Equip a second minor augment.
56,7,Double Whammy,Major,Release a second explosion shortly after a flop.
57,7,Stuntman,Minor,Wall Jumping creates an explosion.
58,7,Tribologist,Minor,Sliding distance and speed are increased.
59,7,EOD Technician,Minor,Reduce height and slide distance requirements for explosions.
60,7,Environmentalist,Minor,Become immune to environmental damage while sliding.
61,7,PhD Slider,Major,Sliding into enemies triggers explosions.
62,7,Dr Ram,Major,"For short bursts, sprinting into Normal Enemies damages and knocks them down. This also works while Tactical Sprinting."
63,7,Gravity MD,Major,Just falling from heights creates explosions.
64,8,Extra Slot,Minor,Equip a second minor augment.
65,8,Adrenaline Rush,Major,Killing a Special or Elite Enemy will immediately start your health regeneration.
66,8,Emergency Medical Kit,Minor,You can now craft a Self Revive Kit up to 4 times.
67,8,Slow Death,Minor,Increase your time in last stand.
68,8,Karmic Return,Minor,Reviving an ally heals you to full health.
69,8,Swift Recovery,Minor,Reviving an ally increases both of your movement speeds for a short time.
70,8,Dying Wish,Major,"On lethal damage, become immune to all damage briefly and keep 1 health. Quick Revive is removed on use. This can be done up to 3 times."
71,8,Equivalent Exchange,Major,Dealing enough damage while downed will revive you with all of your perks. This can be done up to 3 times.
72,8,EMT,Major,"Reviving an ally allows them to keep all of the Perks on their bleed-out bar. When you are revived, keep up to 5 of your perks."
73,9,Extra Slot,Minor,Equip a second minor augment.
74,9,Ammo Surge,Major,"Gain a burst of speed when initiating a reload. The emptier the magazine, the greater the speed boost."
75,9,Prestidigitation,Minor,Reloading has a chance to not use stock ammo.
76,9,Fast Pitcher,Minor,Deploy equipment faster.
77,9,Quick Swap,Minor,Swap weapons faster.
78,9,Speedy Roulette,Minor,The Mystery Box settles much faster.
79,9,Phantom Reload,Major,Weapon magazines are refilled over time.
80,9,Classic Formula,Major,Reload speed is even faster.
81,9,Supercharged,Major,Field Upgrades recharge faster.
82,10,Extra Slot,Minor,Equip a second minor augment.
83,10,Guns Up,Major,Fire while sprinting.
84,10,Footwork,Minor,Increase non-forward sprinting speed.
85,10,Hot Foot,Minor,Gain a speed boost after your equipment kills a zombie.
86,10,Quarterback,Minor,Use equipment while sprinting.
87,10,Hard Target,Minor,"While sprinting, projectile damage is reduced."
88,10,Stalker,Major,Walk faster while aiming.
89,10,Dasher,Major,Enable Tactical Sprint with increased duration.
90,10,Free Faller,Major,Become immune to fall damage.
91,11,Extra Slot,Minor,Equip a second minor augment.
92,11,Armor-Matic,Major,Picking up an Armor Plate automatically applies it to your vest.
93,11,Extra Serving,Minor,Special and Elite Enemies you kill have a chance to drop a Large Essence Vial.
94,11,Picky Eater,Minor,"On death, zombies have a high chance of dropping your current equipment."
95,11,Carrion Luggage,Minor,Critical kills have a chance to drop extra Salvage.
96,11,Condor's Reach,Minor,Auto-pickup loot from farther away.
97,11,Parting Gift,Major,Ammo drops give more ammo to Wonder Weapons.
98,11,Smell of Death,Major,"On death, zombies have a chance to create a gas cloud that conceals you while standing in it."
99,11,Fetid Upgr-aid,Major,"On death, zombies have a chance to create a gas cloud that charges your Field Upgrade."
100,12,Extra Slot,Minor,Equip a second minor augment.
101,12,Mask of Benevolence,Major,The Maiden does not attack but will periodically heal you.
102,12,Fetcher,Minor,The Wisp will pick up items and Powerups for you.
103,12,Mask of Salvation,Major,The Fox can revive you while it's active. This can be done up to 3 times.
104,12,Zombie Sitter,Minor,The Wisp will distract and avoid damaging the last zombie in the round until the round times out.
105,12,Mask of Distraction,Major,The Monkey attracts enemies and does damage in an area.
106,12,Haste,Minor,Decrease the cooldown before a Wisp can be summoned.
107,12,Mask of Wrath,Major,The Demon does more damage.
108,12,Extension,Minor,Increase the Wisp's lifetime.
